Year,Facility,Location,Renewal App Submitted,Last Permit Expired
2020,Allegheny Ludlum (ATI),Brackenridge,Never Issued,Never Issued
2020,Eastman Chemical,Jefferson Hills,Never Issued,Never Issued
2020,Sunoco Pittsburgh Terminal,Pittsburgh,12/30/2015,6/30/2016
2020,U.S. Steel Clairton Plant,Clairton,9/26/2016,3/26/2017
2020,Bellefield Boiler,Pittsburgh,6/15/2018,12/18/2018
2020,University of Pittsburgh,Pittsburgh,6/19/2018,12/19/2018
2021,Allegheny Ludlum (ATI),Brackenridge,Never Issued,Never Issued
2021,Eastman Chemical,Jefferson Hills,Never Issued,Never Issued
2022,ATI Flat-Rolled Products,Brackenridge,Never Issued,Never Issued
2022,Eastman Chemical & Resins,Jefferson Hills,Feb-22,Never Issued
2022,Universal Stainless & Alloy,Bridgeville,5/20/2022,11/21/2022
2022,Springdale Energy,Springdale,1/13/2022,7/27/2022
2022,U.S. Steel Irvin Plant,West Mifflin,7/8/2021,12/9/2021
2023,ATI Flat-Rolled Products,Brackenridge,Never Issued,Never Issued
2023,Synthomer (Eastman),Jefferson Hills,Feb-22,Never Issued
2023,U.S. Steel Irvin Plant,West Mifflin,7/8/2021,12/9/2021
2023,U.S. Steel Edgar Thomson,Braddock,10/13/2020,4/13/2021
2023,Neville Chemical Co.,Neville Island,4/29/2020,4/13/2021
2024,ATI Flat-Rolled Products,Brackenridge,Never Issued,Never Issued
2024,Synthomer Jefferson Hills,Jefferson Hills,Feb-22,Never Issued
2024,U.S. Steel Irvin Plant,West Mifflin,7/8/2021,12/9/2021
2024,Neville Chemical Co.,Neville Island,4/29/2020,4/13/2021
2024,Springdale Energy,Springdale,1/13/2022,7/27/2022
2024,LHT/Neville Island Terminals,Neville Island,1/27/2022,7/27/2022
2024,Energy Center North Shore,Pittsburgh,2/21/2022,8/25/2022
2024,Universal Stainless & Alloy,Bridgeville,5/20/2022,11/21/2022
2025,ATI Flat-Rolled Products,Brackenridge,7/10/2013,Never Issued
2025,PPG Springdale,Springdale,12/8/2022,5/10/2023
2025,LHT Terminals,Moon Township,12/21/2022,6/22/2023
2025,Monroeville Landfill,Monroeville,2/27/2023,2/8/2024
2025,Buckeye Pipeline,Moon Township,10/30/2023,5/1/2024
2026,ATI Flat-Rolled Products,Brackenridge,7/10/2013,Never Issued
2026,PPG Industries � Springdale,Springdale,12/8/2022,5/10/2023
2026,Brunot Island Gen. Station,Pittsburgh,2/23/2024,8/26/2019
2026,PACT (Allegheny Thermal),Pittsburgh,3/6/2025,3/29/2021
