Region,County,Municipality,Client,Site Name,Site ID,PF Name,PF ID,Active Facility,Application Type,Permit Type,General Permit Type,Disposition Code,Date Received,Date Disposed,Date Expires,Permit Hyperlink
Northcentral,Bradford,Asylum Township,HAMILTON LIBERTY LLC,HAMILTON LIBERTY LLC,753377,HAMILTON LIBERTY LLC/HAMILTON LIBERTY LLC,745923,Y,Renewal,Title V Operating Permit,,ISSU,2022-10-19 00:00:00,2023-10-16 00:00:00,2028-10-15 00:00:00,1414543[08-00045]_Issued_v1.pdf
Northcentral,Bradford,Sayre Borough,RYNONE MFG CORP,RYNONE MFG,2854,RYNONE MFG CORP/SAYRE PLT,3850,Y,Renewal,Title V Operating Permit,,ISSU,2020-11-06 00:00:00,2021-05-05 00:00:00,2026-05-04 00:00:00,1332891[08-00004]_Issued_v1.pdf
Northcentral,Bradford,West Burlington Township,NORTHERN TIER SWA,BRADFORD CNTY LDFL 2,242356,NTSWA/BRADFORD CNTY LDFL 101243,510005,Y,Renewal,Title V Operating Permit,,ISSU,2020-07-23 00:00:00,2021-09-16 00:00:00,2026-09-15 00:00:00,1322152[08-00017]_Issued_v1.pdf
Northcentral,Centre,State College Borough,PA STATE UNIV,PENN STATE UNIVERSITY PARK,545486,PA STATE UNIV/UNIV PARK CAMPUS,256457,Y,Renewal,Title V Operating Permit,,ISSU,2024-01-23 00:00:00,2025-08-28 00:00:00,2030-08-27 00:00:00,1469224[14-00003]_Issued_v1.pdf
Northcentral,Clearfield,Bradford Township,SHAWVILLE POWER LLC,SHAWVILLE GENERATING STA,244416,SHAWVILLE POWER LLC/SHAWVILLE GEN STA,249235,Y,Renewal,Title V Operating Permit,,ISSU,2023-02-21 00:00:00,2024-07-30 00:00:00,2029-07-29 00:00:00,1428411[17-00001]_Issued_v1.pdf
Northcentral,Clearfield,Brady Township,EASTERN GAS TRANS & STORAGE INC,LUTHER STA,240959,EASTERN GAS TRANS & STORAGE INC/LUTHER STA,244592,Y,Renewal,Title V Operating Permit,,ISSU,2025-03-11 00:00:00,2026-01-09 00:00:00,2031-01-08 00:00:00,1520415[17-00003]_Issued_v1.pdf
Northcentral,Clinton,Leidy Township,EASTERN GAS TRANS & STORAGE INC,FINNEFROCK STA,241263,EASTERN GAS TRANS & STORAGE INC/FINNEFROCK STA,244957,Y,Renewal,Title V Operating Permit,,ISSU,2023-07-05 00:00:00,2023-11-21 00:00:00,2028-11-20 00:00:00,1446595[18-00005]_Issued_v1.pdf
Northcentral,Clinton,Leidy Township,EASTERN GAS TRANS & STORAGE INC,EGTS LEIDY STA,241258,EASTERN GAS TRANS & STORAGE INC/LEIDY STA,244948,Y,Renewal,Title V Operating Permit,,ISSU,2020-10-23 00:00:00,2021-05-27 00:00:00,2026-05-26 00:00:00,1331659[18-00006]_Issued_v1.pdf
Northcentral,Clinton,Wayne Township,CLINTON CNTY SWA,WAYNE TWP LDFL,237861,CLINTON CNTY SOLID W/WAYNE TWP LDFL,509874,Y,Renewal,Title V Operating Permit,,ISSU,2023-01-27 00:00:00,2024-01-31 00:00:00,2029-01-30 00:00:00,1425405[18-00009]_Issued_v1.pdf
Northcentral,Lycoming,Brady Township,LYCOMING CNTY,LYCOMING CNTY RESOURCE MGMT SVC,269308,LYCOMING CNTY RESOUR/LYCOMING CNTY LDFL,493380,Y,Renewal,Title V Operating Permit,,ISSU,2023-11-03 00:00:00,2025-02-27 00:00:00,2030-02-26 00:00:00,1461654[41-00025]_Issued_v1.pdf
Northcentral,Lycoming,Brady Township,NEXTERA RENEWABLE FUELS LLC,LYCOMING CNTY RESOURCE MGMT SVC,269308,NEXTERA RENEWABLE FUELS LLC/LYCO LANDFILL LFGTE PLT,741868,Y,Renewal,Title V Operating Permit,,ISSU,2023-09-21 00:00:00,2024-11-13 00:00:00,2029-11-12 00:00:00,1456235[41-00082]_Issued_v1.pdf
Northcentral,Lycoming,Williamsport City,CHANCE GROUP LLC,CHANCE ALUMINUM,2054,CHANCE ALUM CORP/WILLIAMSPORT PLT,2720,Y,Renewal,Title V Operating Permit,,ISSU,2022-07-14 00:00:00,2023-02-15 00:00:00,2028-02-14 00:00:00,1402967[41-00013]_Issued_v2.pdf
Northcentral,Lycoming,Williamsport City,HIGH STEEL STRUCTURES INC,HIGH STEEL STRUCTURES,1479,HIGH STEEL STRUCTURES/WILLIAMSPORT PLT 3,1903,Y,Renewal,Title V Operating Permit,,ISSU,2021-05-18 00:00:00,2022-03-17 00:00:00,2027-03-16 00:00:00,1355207[41-00006]_Issued_v3.pdf
Northcentral,Lycoming,Williamsport City,LYCOMING ENGINES,LYCOMING ENGINES- OLIVER ST PLT,2887,LYCOMING ENGINES/OLIVER ST PLT,3897,Y,Renewal,Title V Operating Permit,,ISSU,2024-02-15 00:00:00,2025-05-06 00:00:00,2030-05-05 00:00:00,1473176[41-00005]_Issued_v1.pdf
Northcentral,Montour,Derry Township,MONTOUR LLC,MONTOUR LLC,247875,MONTOUR LLC/MONTOUR SES,254018,Y,Renewal,Title V Operating Permit,,ISSU,2023-06-28 00:00:00,2025-04-23 00:00:00,2030-04-22 00:00:00,1446268[47-00001]_Issued_v1.pdf
Northcentral,Montour,Derry Township,US GYPSUM CO,USG WASHINGTONVILLE PLANT,666465,US GYPSUM CO/WASHINGTONVILLE PLT,683668,Y,Renewal,Title V Operating Permit,,ISSU,2022-09-23 00:00:00,2024-01-02 00:00:00,2029-01-01 00:00:00,1411501[47-00014]_Issued_v1.pdf
Northcentral,Northumberland,Delaware Township,WATSONTOWN BRICK CO,WATSONTOWN BRICK PLT,457628,WATSONTOWN BRICK CO/WATSONTOWN PLT,493449,Y,Renewal,Title V Operating Permit,,ISSU,2024-04-05 00:00:00,2025-11-12 00:00:00,2030-11-11 00:00:00,1480337[49-00033]_Issued_v1.pdf
Northcentral,Northumberland,Milton Borough,JERACO INC,MILTON TRUCK CAP PLT,463808,JERACO ENTERPRISES INC/MILTON PLT,493221,Y,Renewal,Title V Operating Permit,,ISSU,2022-07-15 00:00:00,2022-12-06 00:00:00,2027-12-05 00:00:00,1403973[49-00014]_Issued_v1.pdf
Northcentral,Northumberland,Mount Carmel Township,MT CARMEL COGEN INC,MT CARMEL COGEN PLT,2626,MT CARMEL COGEN/CULM FIRED COGEN PLT,3527,Y,Renewal,Title V Operating Permit,,ISSU,2022-10-25 00:00:00,2024-01-31 00:00:00,2029-01-30 00:00:00,1416695[49-00001]_Issued_v1.pdf
Northcentral,Northumberland,Northumberland Borough,RESILITE SPORTS PROD INC,RESILITE SPORTS PROD,244373,RESILITE SPORTS PROD/NORTHUMBERLAND PLT,249177,Y,Renewal,Title V Operating Permit,,ISSU,2020-08-21 00:00:00,2021-06-28 00:00:00,2026-06-27 00:00:00,1324958[49-00004]_Issued_v1.pdf
Northcentral,Potter,Eulalia Township,CHARLES COLE MEM HOSP,CHARLES COLE MEM HOSP,461382,UPMC SUSQUEHANNA /UPMC COLE HOSPITAL,490929,Y,New,Title V Operating Permit,,ISSU,1997-03-14 00:00:00,1999-06-17 00:00:00,2004-06-16 00:00:00,355225[53-00011]_Issued_v1.pdf
Northcentral,Potter,Genesee Township,EASTERN GAS TRANS & STORAGE INC,STATE LINE STA,249822,EASTERN GAS TRANS & STORAGE INC/STATE LINE STA,257142,Y,Renewal,Title V Operating Permit,,ISSU,2025-04-30 00:00:00,2026-01-29 00:00:00,2031-01-28 00:00:00,1525579[53-00007]_Issued_v1.pdf
Northcentral,Potter,Stewardson Township,EASTERN GAS TRANS & STORAGE INC,EGTS GREENLICK COMPRESSOR STATION,249774,EASTERN GAS TRANS & STORAGE INC/GREENLICK STA,257072,Y,Renewal,Title V Operating Permit,,ISSU,2020-10-23 00:00:00,2021-08-04 00:00:00,2026-08-03 00:00:00,1331730[53-00005]_Issued_v1.pdf
Northcentral,Snyder,Middlecreek Township,WOOD MODE LLC,WOOD MODE LLC,2760,WOOD MODE LLC/KREAMER PLT,3730,Y,Renewal,Title V Operating Permit,,ISSU,2023-02-02 00:00:00,2023-09-11 00:00:00,2028-09-10 00:00:00,1425582[55-00005]_Issued_v1.pdf
