Region,County,Municipality,Client,Site Name,Site ID,PF Name,PF ID,Active Facility,Application Type,Permit Type,General Permit Type,Disposition Code,Date Received,Date Disposed,Date Expires,Permit Hyperlink
Northcentral,Bradford,Asylum Township,HAMILTON LIBERTY LLC,HAMILTON LIBERTY LLC,753377,HAMILTON LIBERTY LLC/HAMILTON LIBERTY LLC,745923,Y,Renewal,Title V Operating Permit,,ISSU,2022-10-19 00:00:00,2023-10-16 00:00:00,2028-10-15 00:00:00,1414543[08-00045]_Issued_v1.pdf
Northcentral,Bradford,North Towanda Township,DUPONT SPECIALTY PROD USA LLC,QNITY TOWANDA,249437,QNITY ELECTRONICS INC/TOWANDA PLT,256580,Y,Modification,Title V Operating Permit,,ISSU,2023-05-19 00:00:00,2023-10-26 00:00:00,2027-08-25 00:00:00,1441836[08-00002]_Issued_v1.pdf
Northcentral,Bradford,Sayre Borough,RYNONE MFG CORP,RYNONE MFG,2854,RYNONE MFG CORP/SAYRE PLT,3850,Y,Renewal,Title V Operating Permit,,ISSU,2020-11-06 00:00:00,2021-05-05 00:00:00,2026-05-04 00:00:00,1332891[08-00004]_Issued_v1.pdf
Northcentral,Bradford,West Burlington Township,NORTHERN TIER SWA,BRADFORD CNTY LDFL 2,242356,NTSWA/BRADFORD CNTY LDFL 101243,510005,Y,Renewal,Title V Operating Permit,,ISSU,2020-07-23 00:00:00,2021-09-16 00:00:00,2026-09-15 00:00:00,1322152[08-00017]_Issued_v1.pdf
Northcentral,Bradford,Wysox Township,WOODGRAIN INC,WOODGRAIN FIBER DIV PA,259347,WOODGRAIN INC/FIBER DIV PA,274625,Y,Amendment,Title V Operating Permit,,ISSU,2025-02-14 00:00:00,2025-03-19 00:00:00,2026-03-07 00:00:00,1517001[08-00003]_Issued_v1.pdf
Northcentral,Centre,Benner Township,CON LIME INC,CON LIME BELLEFONTE FAC,247917,CON LIME INC/BELLEFONTE,254080,N,New,Title V Operating Permit,,ISSU,1995-11-09 00:00:00,1998-04-01 00:00:00,2003-03-31 00:00:00,354603[14-00004]_Issued_v1.pdf
Northcentral,Centre,College Township,CORNING ASAHI VIDEO PROD CO,CORNING ASAHI VIDEO - STATE COLL PICTURE TUBE PLT,249392,CORNING ASAHI VIDEO PROD CO/STATE COLLEGE,256498,N,New,Title V Operating Permit,,ISSU,1995-08-01 00:00:00,2000-10-30 00:00:00,2005-10-29 00:00:00,355279[14-00001]_Issued_v1.pdf
Northcentral,Centre,Spring Township,GRAYMONT PA INC,GRAYMONT PA INC BELLEFONTE FAC,461582,GRAYMONT PA INC/PLEASANT GAP & CON-LIME & BELLEFONTE PLTS,491102,Y,"Modification, Significant",Title V Operating Permit,,ISSU,2022-05-18 00:00:00,2023-01-11 00:00:00,,1397000[14-00002]_Issued_v1.pdf
Northcentral,Centre,Spring Township,GRAYMONT PA INC,GRAYMONT PA PLEASANT GAP PLT,462706,GRAYMONT PA INC/PLEASANT GAP PLT,492282,N,New,Title V Operating Permit,,ISSU,1995-11-27 00:00:00,2000-11-28 00:00:00,2005-11-28 00:00:00,355635[14-00006]_Issued_v1.pdf
Northcentral,Centre,State College Borough,PA STATE UNIV,PENN STATE UNIVERSITY PARK,545486,PA STATE UNIV/UNIV PARK CAMPUS,256457,Y,Renewal,Title V Operating Permit,,ISSU,2024-01-23 00:00:00,2025-08-28 00:00:00,2030-08-27 00:00:00,1469224[14-00003]_Issued_v1.pdf
